run_id,model_id,universe_id,base_commit,point_in_time_universe,survivorship_bias,classification,sector,signal_count,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,Machinery,771,174,174,0,0.4942528736,0.1418206140,-0.0988034096,1.4353817794,0.0201257055,1.4027594663,5,41.4425287356,52.0000000000,3.5018727510
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,Nonferrous metals,507,125,125,0,0.4800000000,0.1828758004,-0.1018191220,1.7960850254,0.0348344407,1.6579246388,8,37.2320000000,37.0000000000,4.3543050907
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,Real estate,319,79,79,0,0.4936708861,0.1432127520,-0.0923567802,1.5506468684,0.0239370395,1.5118806967,11,42.1772151899,59.0000000000,1.8910261192
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,Trading companies,1259,286,286,0,0.4615384615,0.1419348473,-0.0909038147,1.5613739405,0.0165601832,1.3383205204,13,43.6888111888,56.5000000000,4.7362123861
