run_id,model_id,universe_id,base_commit,point_in_time_universe,survivorship_bias,classification,split,start,end,sessions,signal_count,accepted_cohort_trade_count,cross_boundary_excluded,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,development,2004-10-29,2017-10-31,3190,1595,374,8,366,366,0,0.4344262295,0.1540389152,-0.0966606986,1.5936044060,0.0122497894,1.2240729496,16,40.0191256831,47.0000000000,4.4834229050
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,validation,2017-11-01,2022-03-17,1064,565,124,6,118,118,0,0.3983050847,0.0931574454,-0.0916748442,1.0161723885,-0.0180552034,0.6726774966,12,44.8050847458,60.0000000000,-2.1305140052
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,final_holdout,2022-03-18,2026-07-24,1064,696,166,0,166,166,0,0.5903614458,0.1706611015,-0.0948881346,1.7985504947,0.0618818963,2.5920286541,11,41.8493975904,54.5000000000,10.2723947894
