run_id,model_id,universe_id,base_commit,point_in_time_universe,survivorship_bias,classification,scenario,commission_bps_per_side,slippage_bps_per_side,round_trip_bps,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,total_return,cagr,maximum_drawdown,calmar_ratio,market_exposure,maximum_concurrent_positions
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,zero,0.0000000000,0.0000000000,0.0000000000,663,663,0,0.4871794872,0.1516829085,-0.0936383483,1.6198802235,0.0260183701,1.5434256997,16,41.8959276018,53.0000000000,17.2501793879,1.2321556706,0.0376370672,-0.2411235592,0.1560903767,0.3733680761,14
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,basic,10.0000000000,10.0000000000,40.0000000000,664,664,0,0.4774096386,0.1498101514,-0.0951193131,1.5749709130,0.0218123740,1.4388062807,16,41.7048192771,52.5000000000,14.4834163470,1.0345297391,0.0332205090,-0.3090712979,0.1074849370,0.3722264009,14
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,strict,20.0000000000,30.0000000000,100.0000000000,666,666,0,0.4534534535,0.1494860648,-0.0969266172,1.5422602081,0.0148100644,1.2795675353,17,41.3453453453,51.0000000000,9.8635029130,0.7045359224,0.0248413515,-0.4309786855,0.0576393968,0.3701310912,14
