run_id,model_id,universe_id,base_commit,point_in_time_universe,survivorship_bias,classification,score_bucket,signal_count,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,90,1310,336,336,0,0.4613095238,0.1640325485,-0.0957688238,1.7127969422,0.0240800236,1.4667598124,9,41.4851190476,51.0000000000,8.0908879150
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,100,1445,290,290,0,0.5000000000,0.1378320815,-0.0936636885,1.4715636732,0.0220841965,1.4715636732,20,42.1241379310,58.0000000000,6.4044169824
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,110,0,0,0,0,,,,,,,0,,,0.0000000000
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,120,101,38,38,0,0.4473684211,0.1223012452,-0.0995718914,1.2282707853,-0.0003128566,0.9943144452,6,40.4473684211,47.5000000000,-0.0118885503
