ticker,code,name,sector,market_cap,market_cap_bucket
2802.T,2802,"Ajinomoto Co., Inc.",Foods,5888127533056,Large
2502.T,2502,"Asahi Group Holdings , Ltd.",Foods,2208929153024,Mid
2914.T,2914,Japan Tobacco Inc.,Foods,10594643083264,Large
2801.T,2801,Kikkoman Corp.,Foods,1445862572032,Mid
2503.T,2503,"Kirin Holdings Co, Ltd",Foods,2246343917568,Mid
2269.T,2269,"Meiji Holdings Company, Limited",Foods,970002792448,Small
2282.T,2282,NH Foods Ltd.,Foods,553409839104,Small
2871.T,2871,Nichirei Corp.,Foods,511259312128,Small
2002.T,2002,Nisshin Seifun Group Inc.,Foods,538816839680,Small
2501.T,2501,Sapporo Holdings Ltd.,Foods,733681811456,Small
9532.T,9532,"Osaka Gas Co., Ltd.",Gas,2078492590080,Mid
9531.T,9531,"Tokyo Gas Co., Ltd.",Gas,2061624410112,Mid
5201.T,5201,AGC Inc.,Glass & ceramics,1603785588736,Mid
5333.T,5333,"NGK Insulators , Ltd.",Glass & ceramics,2165094219776,Mid
5214.T,5214,"Nippon Electric Glass Co., Ltd.",Glass & ceramics,506870530048,Small
5233.T,5233,Taiheiyo Cement Corp.,Glass & ceramics,432575545344,Small
5301.T,5301,"Tokai Carbon Co., Ltd.",Glass & ceramics,371607535616,Small
5332.T,5332,Toto Ltd.,Glass & ceramics,1531538702336,Mid
8750.T,8750,"Dai-ichi Life Insurance Company, Limited",Insurance,6605944913920,Large
8725.T,8725,"MS&AD Insurance Group , Inc.",Insurance,6728241381376,Large
8630.T,8630,"Sompo Holdings , Inc.",Insurance,5762991521792,Large
8795.T,8795,"T&D Holdings , Inc.",Insurance,2391651385344,Mid
8766.T,8766,"Tokio Marine Holdings , Inc.",Insurance,13951534366720,Large
9147.T,9147,Nippon Express Holdings Inc. ( TYO : 9147 )(Holding company for Nippon Express ),Land transport,1253652561920,Mid
9064.T,9064,"Yamato Holdings Co., Ltd.",Land transport,556400771072,Small
6113.T,6113,Amada Co. Ltd.,Machinery,966377406464,Small
6367.T,6367,"Daikin Industries , Ltd.",Machinery,6653625237504,Large
6361.T,6361,Ebara Corp.,Machinery,3093716795392,Mid
6305.T,6305,"Hitachi Construction Machinery Co., Ltd.",Machinery,1151753125888,Small
7004.T,7004,Kanadevia Corp.,Machinery,240065036288,Small
7013.T,7013,IHI Corp.,Machinery,2985945989120,Mid
5631.T,5631,"The Japan Steel Works , Ltd.",Machinery,600884772864,Small
6473.T,6473,JTEKT Corp.,Machinery,662766878720,Small
6301.T,6301,Komatsu Ltd.,Machinery,5855319687168,Large
6326.T,6326,Kubota Corp.,Machinery,3227783004160,Mid
7011.T,7011,"Mitsubishi Heavy Industries , Ltd.",Machinery,13135058567168,Large
6471.T,6471,NSK Ltd.,Machinery,595992969216,Small
6472.T,6472,NTN Corp.,Machinery,263544635392,Small
6103.T,6103,"Okuma Holdings , Inc.",Machinery,269615185920,Small
6302.T,6302,"Sumitomo Heavy Industries , Ltd.",Machinery,663998169088,Small
6273.T,6273,SMC Corporation,Machinery,4681979920384,Large
9107.T,9107,"Kawasaki Kisen Kaisha , Ltd.",Marine transport,1595161575424,Mid
9104.T,9104,"Mitsui O.S.K. Lines , Ltd.",Marine transport,1817992101888,Mid
9101.T,9101,Nippon Yusen K.K.,Marine transport,2099702530048,Mid
1605.T,1605,Inpex Corp.,Mining,4007230439424,Large
5714.T,5714,"Dowa Holdings Co., Ltd.",Nonferrous metals,571963998208,Small
5803.T,5803,Fujikura Ltd.,Nonferrous metals,10200516919296,Large
5801.T,5801,"The Furukawa Electric Co., Ltd.",Nonferrous metals,4080288923648,Large
5711.T,5711,Mitsubishi Materials Corp.,Nonferrous metals,638882021376,Small
5706.T,5706,"Mitsui Mining & Smelting Co., Ltd.",Nonferrous metals,3028247379968,Mid
3436.T,3436,SUMCO Corp.,Nonferrous metals,1476139548672,Mid
5802.T,5802,"Sumitomo Electric Industries , Ltd.",Nonferrous metals,10528918339584,Large
5713.T,5713,"Sumitomo Metal Mining Co., Ltd.",Nonferrous metals,2373330927616,Mid
8253.T,8253,"Credit Saison Co., Ltd.",Other financial services,632377507840,Small
8697.T,8697,Japan Exchange Group Inc.,Other financial services,2215184433152,Mid
8591.T,8591,Orix Co.,Other financial services,7113330917376,Large
7832.T,7832,"Bandai Namco Holdings , Inc.",Other manufacturing,2337137491968,Mid
7912.T,7912,"Dai Nippon Printing Co., Ltd.",Other manufacturing,1213001891840,Mid
7911.T,7911,"Toppan Printing Co., Ltd.",Other manufacturing,1416860270592,Mid
7951.T,7951,Yamaha Corporation,Other manufacturing,498843156480,Small
5020.T,5020,Eneos Holdings,Petroleum,3363606102016,Large
5019.T,5019,"Idemitsu Kosan Co., Ltd",Petroleum,1508783161344,Mid
4503.T,4503,Astellas Pharma Inc.,Pharmaceuticals,3900078555136,Large
4519.T,4519,"Chugai Pharmaceutical Co., Ltd.",Pharmaceuticals,12379429535744,Large
4568.T,4568,"Daiichi Sankyo Company, Limited",Pharmaceuticals,4611910926336,Large
4523.T,4523,"Eisai Co. , Ltd.",Pharmaceuticals,1101002571776,Small
4151.T,4151,"Kyowa Hakko Kirin Co., Ltd.",Pharmaceuticals,1323898241024,Mid
4578.T,4578,"Otsuka Holdings Co., Ltd.",Pharmaceuticals,5582115307520,Large
4506.T,4506,"Sumitomo Dainippon Pharma Co., Ltd.",Pharmaceuticals,651357650944,Small
4507.T,4507,"Shionogi & Co., Ltd.",Pharmaceuticals,2392942968832,Mid
4502.T,4502,Takeda Pharmaceutical Company Limited,Pharmaceuticals,7859874562048,Large
6146.T,6146,Disco Corporation Ltd.,Precision instruments,9597225009152,Large
7741.T,7741,Hoya Corporation,Precision instruments,9023528108032,Large
4902.T,4902,"Konica Minolta Holdings , Inc.",Precision instruments,276347518976,Small
7731.T,7731,Nikon Corp.,Precision instruments,709234327552,Small
7733.T,7733,Olympus Corp.,Precision instruments,1765838028800,Mid
4543.T,4543,Terumo Corp.,Precision instruments,3310823931904,Large
3861.T,3861,Oji Holdings Corporation,Pulp & paper,679217594368,Small
9022.T,9022,Central Japan Railway Company,Railway/bus,3106681126912,Mid
9020.T,9020,East Japan Railway Company,Railway/bus,3753023897600,Large
9008.T,9008,Keio Corp.,Railway/bus,418880159744,Small
9009.T,9009,"Keisei Electric Railway Co., Ltd.",Railway/bus,524917407744,Small
9007.T,9007,"Odakyu Electric Railway Co., Ltd.",Railway/bus,563663601664,Small
9001.T,9001,"Tobu Railway Co., Ltd.",Railway/bus,560979443712,Small
9005.T,9005,Tokyu Corp.,Railway/bus,923887075328,Small
9021.T,9021,West Japan Railway Company,Railway/bus,1187996237824,Mid
8802.T,8802,"Mitsubishi Estate Co., Ltd.",Real estate,4804578377728,Large
8801.T,8801,"Mitsui Fudosan Co., Ltd",Real estate,3979065950208,Large
8830.T,8830,"Sumitomo Realty & Development Co., Ltd.",Real estate,3272372649984,Mid
8804.T,8804,"Tokyo Tatemono Co., Ltd.",Real estate,686804238336,Small
3289.T,3289,Tokyu Land Corp.,Real estate,915507118080,Small
8267.T,8267,"Aeon Co., Ltd.",Retail,3609062014976,Large
9983.T,9983,"Fast Retailing Co., Ltd.",Retail,25016645189632,Large
3099.T,3099,Isetan Mitsukoshi Holdings Ltd.,Retail,1383591051264,Mid
3086.T,3086,"J. Front Retailing Co., Ltd.",Retail,716475334656,Small
8252.T,8252,"Marui Group Co., Ltd.",Retail,493955317760,Small
7453.T,7453,"Muji Co., Ltd",Retail,1857899069440,Mid
9843.T,9843,"Nitori Holdings Co., Ltd.",Retail,1319973683200,Mid
7532.T,7532,Pan Pacific International Holdings Corp.,Retail,2440610185216,Mid
3382.T,3382,"Seven & I Holdings Co. , Ltd.",Retail,4337985126400,Large
8233.T,8233,"Takashimaya Co., Ltd.",Retail,691220971520,Small
3092.T,3092,"ZOZO Co., Ltd",Retail,995307880448,Small
