run_id,gate_id,model_id,base_commit,classification,universe_id,year,raw_signal_count,raw_signal_count_basis,accepted_entry_count,accepted_entry_count_basis,trade_metric_count_basis,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,total_return,cagr,maximum_drawdown,calmar_ratio,market_exposure,maximum_concurrent_positions,mean_cash_utilization,minimum_cash
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2014,179,signal_session_year,33,entry_session_year,exit_session_year,26,26,0,0.4230769230769231,0.06751673692949732,-0.09435044442315385,0.7155953248793445,-0.025868175389339894,0.5247699049115192,9,41.65384615384615,57.0,-0.6725725601228373,-0.059855877648301026,-0.07898196753376874,-0.14559643588314952,-0.5424718472995921,0.9893048128342246,10,0.6397774163057365,0.0
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2015,152,signal_session_year,31,entry_session_year,exit_session_year,31,31,0,0.45161290322580644,0.13133697258817278,-0.09906813553559399,1.3257236736930917,0.004985784262236163,1.0917724371590167,12,44.096774193548384,58.0,0.15455931212932106,0.0059758682581740885,0.005979850374034035,-0.1583229392161707,0.03776995553290782,0.8571428571428571,10,0.5851506453943963,0.0
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2016,132,signal_session_year,32,entry_session_year,exit_session_year,32,32,0,0.28125,0.11176002137806644,-0.10746589554381883,1.0399580333138962,-0.0458086064095386,0.40694009999239417,10,32.03125,26.0,-1.4658754051052352,-0.10344947250699144,-0.10324682067639146,-0.20644112480482946,-0.5001271949762992,0.9024390243902439,9,0.4319846793429048,645149.0249837853
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2017,102,signal_session_year,31,entry_session_year,exit_session_year,29,29,0,0.5517241379310345,0.14052212158223162,-0.05405498274729448,2.5996145857481556,0.05329790240003027,3.1995256439977298,9,55.13793103448276,60.0,1.5456391696008778,0.15691737745209755,0.15749313665184617,-0.08613824300987172,1.8283764695989555,1.0,10,0.6428640366953213,54531.390786989825
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2018,122,signal_session_year,27,entry_session_year,exit_session_year,36,36,0,0.2777777777777778,0.07376332297014287,-0.09555392911876205,0.7719548913416624,-0.04852135909406624,0.296905727439101,7,40.02777777777778,38.0,-1.7467689273863847,-0.20958204163700567,-0.21021635322628818,-0.26132872742308955,-0.8044134883263302,0.8821138211382114,10,0.47790776118416883,0.0
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2019,172,signal_session_year,33,entry_session_year,exit_session_year,28,28,0,0.4642857142857143,0.07883437392733465,-0.07194233839915883,1.095799437181714,-0.0019388648190011373,0.9496928455574856,7,50.464285714285715,60.0,-0.05428821493203184,-0.009528217798125072,-0.009482805832963015,-0.10816002403804581,-0.08767385101197271,0.9545454545454546,10,0.6257138801624419,0.0
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2020,77,signal_session_year,21,entry_session_year,exit_session_year,23,23,0,0.391304347826087,0.12872623434055414,-0.09235633313374945,1.3937997533329325,-0.0058457632525002155,0.8960141271425995,12,43.73913043478261,48.0,-0.13445255480750495,-0.004228765742914198,-0.004220032077561275,-0.11794826772920308,-0.03577866940148734,0.8401639344262295,9,0.39683668177178594,669070.7605159264
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2021,126,signal_session_year,27,entry_session_year,exit_session_year,22,22,0,0.5909090909090909,0.10817775161799005,-0.0965576762949692,1.120343361283087,0.024422349289961266,1.6182737440755701,5,51.40909090909091,60.0,0.5372916843791479,0.04584925078291735,0.04588040061921794,-0.10967010813097722,0.4183491874050469,1.0,8,0.5249951827178359,1529906.6450142416
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2022,163,signal_session_year,34,entry_session_year,exit_session_year,35,35,0,0.6285714285714286,0.11601102592628086,-0.09800330163682149,1.1837460982303638,0.03651998997427142,2.003262627774462,4,44.91428571428571,60.0,1.2781996490994998,0.09770881750213967,0.09777680865508764,-0.11577314039364694,0.8445552079060054,1.0,10,0.6258654398762302,0.0
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2023,168,signal_session_year,35,entry_session_year,exit_session_year,37,37,0,0.6216216216216216,0.140938082281164,-0.08398184572198734,1.678197008764537,0.055833244658349976,2.757037942970311,7,46.16216216216216,60.0,2.0658300523589492,0.23426746594711134,0.23515455312118827,-0.1282339646966928,1.833793049114491,1.0,10,0.6808615492459142,0.0
