gate_id,model_id,base_commit,classification,source_run_id,universe_id,split,score_group,exit_reason_group,exit_count,total_net_pnl_jpy,share_of_score_group_net_pnl,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,sample_status,mean_mfe,mean_mae,horizon_10_available_count,horizon_10_mean_unrealized_return,horizon_20_available_count,horizon_20_mean_unrealized_return,horizon_40_available_count,horizon_40_mean_unrealized_return,horizon_60_available_count,horizon_60_mean_unrealized_return
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,90,take_profit_gap,5,2430130.8935727933,0.3614978327669467,5,5,0,1.0,0.30738075091695016,,,0.30738075091695016,,0,32.2,31.0,1.5369037545847508,INSUFFICIENT_SAMPLE,0.30999943979710454,-0.027990162749601442,3,0.043250254634282004,3,0.08021458797548668,2,0.13674490407430917,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,90,max_holding,94,7250116.135995284,1.0785020993736267,94,94,0,0.7659574468085106,0.10657541078441891,-0.031302798369982926,3.404660807789532,0.07430604268445253,11.142526280038467,5,60.0,60.0,6.984768012338537,SUFFICIENT,0.1482998226948731,-0.05140078801182314,94,0.020685464670127638,94,0.03940874343924613,94,0.05942474659131183,94,0.07645788199055162
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,90,data_end_or_haircut,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,90,other,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,100,stop_loss,54,-5586093.957457791,-1.0894171770262027,54,54,0,0.0,,-0.10269640359640346,,-0.10269640359640346,0.0,54,22.833333333333332,20.0,-5.545605794205787,SUFFICIENT,0.036706569571936014,-0.10089910089910077,43,-0.006272422317353234,26,-0.012409196994857105,7,-0.03754362169916013,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,100,stop_gap,18,-2097739.8567325026,-0.40910766096331663,18,18,0,0.0,,-0.1119215056122645,,-0.1119215056122645,0.0,18,27.72222222222222,24.0,-2.0145871010207608,INSUFFICIENT_SAMPLE,0.048253156392852534,-0.11014268083124616,15,-0.003590856887927707,12,-0.01299932299049436,4,0.0094907741455936,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,100,take_profit,16,6231901.546454398,1.2153645538273916,16,16,0,1.0,0.2961051948051949,,,0.2961051948051949,,0,29.1875,32.5,4.737683116883119,INSUFFICIENT_SAMPLE,0.2987012987012989,-0.03411046316117447,13,0.060352022771231646,10,0.08107268761503642,5,0.21427206727042933,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,100,take_profit_gap,2,624046.6761038014,0.12170349682463702,2,2,0,1.0,0.302214043914358,,,0.302214043914358,,0,19.0,19.0,0.604428087828716,INSUFFICIENT_SAMPLE,0.3048223838596936,-0.016577431663688746,1,0.0410269896741855,1,0.13437369022430623,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,100,max_holding,96,5955484.160167823,1.1614567873374906,96,96,0,0.8229166666666666,0.0888500921063665,-0.037053522965255416,2.397885140089919,0.06655466027076679,11.143113298064916,2,60.0,60.0,6.389247385993611,SUFFICIENT,0.12515471081802132,-0.05232504396961248,96,0.007996677550721396,96,0.016492728145782717,96,0.03972213251594332,96,0.06869097352684696
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,100,data_end_or_haircut,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
