gate_id,model_id,base_commit,classification,source_run_id,universe_id,split,bitmask,bit_pattern,score,has_weekly_above_200ma,has_weekly_macd_gc,has_weekly_macd_uptrend,has_daily_rsi_40_65,has_daily_volume_1_5x,raw_signal_count,accepted_signal_cohort_count,contained_trade_count,cross_boundary_excluded_count,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,sample_status,stop_loss_exit_count,stop_gap_exit_count,take_profit_exit_count,take_profit_gap_exit_count,max_holding_exit_count,data_end_or_haircut_exit_count,other_exit_count,ticker_distinct_count,ticker_top_trade_share,ticker_trade_hhi,sector_distinct_count,sector_top_trade_share,sector_trade_hhi,ticker_top_loss_share,ticker_loss_hhi,sector_top_loss_share,sector_loss_hhi
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,15,01111,100,True,True,True,True,False,202,38,30,8,30,30,0,0.6666666666666666,0.1439178258085483,-0.10276598597589293,1.4004422226076718,0.06168988854706791,2.800884445215343,2,44.1,60.0,1.8506966564120373,SUFFICIENT,9,1,3,1,16,0,0,13,0.13333333333333333,0.08888888888888888,4,0.5,0.34888888888888886,0.20054167634420042,0.18002744141462285,0.4996614522848745,0.37989202232857266
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,23,10111,100,True,True,True,False,True,30,9,9,0,9,9,0,0.5555555555555556,0.06633626729343098,-0.10269640359640353,0.6459453785171704,-0.008789364213162133,0.807431723146463,2,42.22222222222222,46.0,-0.0791042779184592,INSUFFICIENT_SAMPLE,4,0,1,0,4,0,0,6,0.2222222222222222,0.18518518518518517,3,0.4444444444444444,0.35802469135802467,0.2500000000000003,0.25,0.5000000000000002,0.3750000000000001
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,29,11101,90,True,False,True,True,True,180,28,27,1,27,27,0,0.5555555555555556,0.1216910015742676,-0.0757205736371296,1.6071061764196197,0.03395252370253551,2.0088827205245243,5,46.7037037037037,60.0,0.9167181399684587,INSUFFICIENT_SAMPLE,7,1,2,1,16,0,0,13,0.1111111111111111,0.08641975308641973,4,0.48148148148148145,0.32784636488340185,0.2319371313928406,0.1600362857177698,0.4579796247856059,0.36068256733846593
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,30,11110,90,False,True,True,True,True,5,2,2,0,2,2,0,1.0,0.04146984989860836,,,0.04146984989860836,,0,60.0,60.0,0.08293969979721671,INSUFFICIENT_SAMPLE,0,0,0,0,2,0,0,1,1.0,1.0,1,1.0,1.0,,,,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,31,11111,120,True,True,True,True,True,22,9,8,1,8,8,0,0.625,0.16357379923965257,-0.10269640359640353,1.5927899469829243,0.06372247317613153,2.654649911638207,1,43.375,60.0,0.5097797854090522,INSUFFICIENT_SAMPLE,3,0,0,0,5,0,0,6,0.25,0.1875,3,0.625,0.46875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,15,01111,100,True,True,True,True,False,105,21,21,0,21,21,0,0.47619047619047616,0.17570035680324098,-0.07921024436161944,2.218151935008736,0.042175756193075994,2.0165017590988508,4,38.19047619047619,54.0,0.8856908800545958,INSUFFICIENT_SAMPLE,6,1,4,0,10,0,0,10,0.14285714285714285,0.11111111111111109,3,0.42857142857142855,0.365079365079365,0.25185620380871865,0.19661275829208413,0.4875842151492775,0.39673484458372343
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,23,10111,100,True,True,True,False,True,24,9,9,0,9,9,0,0.7777777777777778,0.19111674908266557,-0.10889080712187205,1.7551228991145704,0.124448403259435,6.142930146900997,1,36.44444444444444,43.0,1.120035629334915,INSUFFICIENT_SAMPLE,1,1,4,0,3,0,0,5,0.3333333333333333,0.2345679012345679,4,0.5555555555555556,0.3827160493827161,0.5284431885904555,0.5016180299543844,0.5284431885904555,0.5016180299543844
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,29,11101,90,True,False,True,True,True,218,56,56,0,56,56,0,0.5535714285714286,0.22268350504169523,-0.1043584666634916,2.1338326650558006,0.07668262481616538,2.645952504669193,8,40.19642857142857,47.0,4.294226989705261,SUFFICIENT,10,12,13,4,17,0,0,15,0.125,0.08035714285714285,4,0.35714285714285715,0.29017857142857145,0.20493563185321836,0.1151465175391961,0.4951210687876995,0.35938600494364364
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,30,11110,90,False,True,True,True,True,2,2,2,0,2,2,0,0.5,0.12476501279289853,-0.10287211036013588,1.2128166940108425,0.010946451216381325,1.2128166940108425,1,36.0,36.0,0.02189290243276265,INSUFFICIENT_SAMPLE,0,1,0,0,1,0,0,2,0.5,0.5,1,1.0,1.0,1.0,1.0,1.0,1.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,31,11111,120,True,True,True,True,True,12,4,4,0,4,4,0,0.5,0.08090831609658178,-0.10684226717811585,0.7572688060025926,-0.012966975540767034,0.7572688060025926,2,43.0,43.5,-0.051867902163068136,INSUFFICIENT_SAMPLE,1,1,0,0,2,0,0,4,0.25,0.25,3,0.5,0.375,0.5194017952408329,0.5007528593171344,0.5194017952408329,0.5007528593171344
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,15,01111,100,True,True,True,True,False,2900,297,297,0,297,294,3,0.4387755102040816,0.14519646996803817,-0.08694341921781282,1.6700110402178727,0.014913879098427923,1.3056449950794278,17,43.14965986394558,60.0,4.38468045493781,SUFFICIENT,95,27,20,8,144,0,0,87,0.03741496598639456,0.0171687722708131,26,0.15306122448979592,0.07531584062196309,0.037408010601885464,0.01947172399565313,0.17083793834367308,0.08634673215567978
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,23,10111,100,True,True,True,False,True,374,59,59,0,59,58,1,0.4482758620689655,0.15620092385873685,-0.08014828263683008,1.9488991993317988,0.025801361654286127,1.5834805994570864,6,42.189655172413794,60.0,1.4964789759485955,SUFFICIENT,15,5,4,2,32,0,0,35,0.06896551724137931,0.03864447086801428,18,0.20689655172413793,0.09988109393579071,0.12644875501558292,0.06264685718557036,0.21185114387793683,0.10317673121015046
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,29,11101,90,True,False,True,True,True,2245,245,245,0,245,242,3,0.44214876033057854,0.13055048793366633,-0.09293714409567225,1.4047180941914226,0.005877635355316307,1.1133691561369052,11,41.86363636363637,59.0,1.4223877559865463,SUFFICIENT,74,34,12,5,117,0,0,87,0.0371900826446281,0.01731439109350455,27,0.17768595041322313,0.07653165767365616,0.04352356238695299,0.019296503191229705,0.1491600024401332,0.07149932984315827
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,30,11110,90,False,True,True,True,True,71,7,7,0,7,7,0,0.14285714285714285,0.05529248122168173,-0.08932520165928882,0.619002030721214,-0.06866553267629304,0.10316700512020233,6,33.42857142857143,28.0,-0.48065872873405124,INSUFFICIENT_SAMPLE,5,0,0,0,2,0,0,7,0.14285714285714285,0.14285714285714285,7,0.14285714285714285,0.14285714285714285,0.19161520990853956,0.18533956096341458,0.19161520990853956,0.18533956096341458
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,31,11111,120,True,True,True,True,True,235,47,47,0,47,44,3,0.36363636363636365,0.15009459351173324,-0.09755389963193149,1.538581174899584,-0.007499902125144301,0.8791892427997622,7,35.0,32.5,-0.3299956935063493,SUFFICIENT,15,8,4,1,16,0,0,34,0.09090909090909091,0.03719008264462809,18,0.22727272727272727,0.09814049586776859,0.1413769794050133,0.06128299516358559,0.29300332980162275,0.12968241748013168
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,development,15,01111,100,True,True,True,True,False,1549,162,157,5,157,157,0,0.39490445859872614,0.11495581205106936,-0.08562320867094751,1.3425777173668871,-0.006413659086456769,0.8762086155447053,17,44.197452229299365,60.0,-1.0069444765737128,SUFFICIENT,54,16,5,4,78,0,0,61,0.050955414012738856,0.022759543997728105,23,0.15286624203821655,0.08442533165645665,0.054286113646044375,0.02620142213455561,0.17675835519347669,0.08845316344646895
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,development,23,10111,100,True,True,True,False,True,193,26,26,0,26,26,0,0.38461538461538464,0.1349278105863311,-0.07298198278015419,1.8487824726929958,0.006983322360801693,1.1554890454331224,6,46.92307692307692,60.0,0.18156638138084402,INSUFFICIENT_SAMPLE,8,1,0,1,16,0,0,20,0.11538461538461539,0.059171597633136105,11,0.15384615384615385,0.11538461538461538,0.17589341862936042,0.11038899619995854,0.19740114866334352,0.14760914299191896
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,development,29,11101,90,True,False,True,True,True,1239,146,143,3,143,143,0,0.5104895104895105,0.11467821651479652,-0.09204248225475078,1.2459270296230782,0.013486266068164965,1.29932390232121,9,45.19580419580419,60.0,1.9285360477475901,SUFFICIENT,42,14,4,1,82,0,0,62,0.04895104895104895,0.022837302557582283,22,0.22377622377622378,0.09619052276394932,0.06793963703972859,0.028694530576685463,0.1912522467112316,0.09672012817268881
