gate_id,model_id,base_commit,classification,source_run_id,universe_id,split,start_session,end_session,session_count,raw_signal_count,raw_signal_frequency_per_100_sessions,accepted_entry_count,capacity_rejection_count,duplicate_rejection_count,capacity_rejection_share_of_nonduplicate_candidates,mean_active_member_count,mean_active_member_weekly_above_200ma_share,mean_active_member_macd_uptrend_share,mean_cross_sectional_median_adjusted_return,mean_cross_sectional_adjusted_return_population_std,mean_signal_breadth,mean_cash_utilization,maximum_cash_utilization,mean_active_positions,maximum_active_positions,market_exposure_share,maximum_drawdown,closed_trade_count,profit_factor,expectancy_per_trade,win_rate,average_holding_sessions,stop_family_exit_share,max_holding_exit_share,ticker_distinct_count,ticker_top_trade_share,ticker_trade_hhi,sector_distinct_count,sector_top_trade_share,sector_trade_hhi
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,2014-04-01,2026-07-24,3010,1797,59.70099667774086,402,40,1355,0.09049773755656108,14.99501661129568,0.7436800708984159,0.5575274177467597,0.00044413472301306934,0.012453766304711664,0.03981389165835826,0.5738467726459451,1.0,5.680398671096346,10,0.9428571428571428,-0.3754503193821267,402,1.4929075960193687,0.022776327297824795,0.5,43.52238805970149,0.40049751243781095,0.5,15,0.07711442786069651,0.06784485532536323,4,0.43034825870646765,0.3059577733224425
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,2014-04-01,2021-08-20,1806,997,55.204872646733115,224,29,743,0.11462450592885376,14.991694352159469,0.6549215143120961,0.5561957525392429,0.00017624066150537376,0.010926369010868919,0.036823638042474606,0.5369388406292489,1.0,5.3006644518272426,10,0.9235880398671097,-0.3754503193821267,219,0.8558132042317913,-0.0076297889542294075,0.4155251141552511,44.31506849315068,0.4520547945205479,0.5251141552511416,15,0.091324200913242,0.07045307645795541,4,0.4474885844748858,0.314109380538354
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,2021-08-23,2024-02-05,602,439,72.92358803986711,86,7,342,0.07526881720430108,15.0,0.8526024363233665,0.5177187153931341,0.000836944927345881,0.011303894465568037,0.048615725359911405,0.6413695423627931,1.0,6.307308970099668,10,1.0,-0.1282339646966928,76,2.235708338177365,0.043171447416688234,0.618421052631579,45.14473684210526,0.32894736842105265,0.5657894736842105,15,0.09210526315789473,0.07132963988919666,4,0.4868421052631579,0.33552631578947373
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,2024-02-06,2026-07-24,602,361,59.966777408637874,92,4,270,0.041666666666666664,15.0,0.9008859357696569,0.6013289036544851,0.0008545616964566536,0.01818329282057648,0.039977851605758584,0.6170477989791855,1.0,6.192691029900332,10,0.9435215946843853,-0.16091478007805315,92,2.561789169455835,0.06815194021048333,0.5543478260869565,39.40217391304348,0.3695652173913043,0.358695652173913,15,0.11956521739130435,0.07655954631379963,4,0.34782608695652173,0.2870982986767486
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,2014-04-01,2026-07-24,3010,5825,193.52159468438538,655,3193,1977,0.8297817047817048,49.96212624584717,0.7649607639666036,0.5206056659952116,5.0185830268224e-05,0.015944318190084853,0.038731017830861164,0.8781474510925472,1.0,8.850830564784053,10,0.9880398671096345,-0.4467087734377444,645,1.1984114582924992,0.010066500410283024,0.4325581395348837,41.91937984496124,0.4310077519379845,0.4821705426356589,107,0.03255813953488372,0.01531398353464335,28,0.17209302325581396,0.07516615588005526
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,development,2014-04-01,2021-08-20,1806,3135,173.58803986710964,362,1656,1115,0.8206144697720515,49.93687707641196,0.7081368081858781,0.5250761490191644,-6.716693691426354e-05,0.013800526875723317,0.03475990728701453,0.8525218560312375,1.0,8.572535991140642,10,0.9800664451827242,-0.4467087734377444,352,1.0192023115407967,0.0009569104900934105,0.4318181818181818,44.05113636363637,0.4289772727272727,0.5227272727272727,79,0.036931818181818184,0.019047004132231416,26,0.17329545454545456,0.08335485537190082
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,validation,2021-08-23,2024-02-05,602,1327,220.43189368770763,125,790,405,0.8633879781420765,50.0,0.8305315614617942,0.5071428571428571,0.00044688543382311323,0.01567542432485156,0.04408637873754152,0.9304392823229515,1.0,9.426910299003323,10,1.0,-0.19681021329337223,115,1.4643539170530389,0.020749620760291628,0.4434782608695652,44.834782608695654,0.3739130434782609,0.5391304347826087,54,0.05217391304347826,0.02472589792060492,21,0.16521739130434782,0.08158790170132324
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,final_holdout,2024-02-06,2026-07-24,602,1363,226.41196013289036,168,747,457,0.8163934426229508,50.0,0.8697674418604652,0.5206644518272425,5.34959010933147e-06,0.022641024883262622,0.04528239202657807,0.9027324050460721,1.0,9.109634551495017,10,1.0,-0.275646985373065,158,1.2094965245074516,0.01270930216696627,0.3987341772151899,33.360759493670884,0.5253164556962026,0.31645569620253167,57,0.04430379746835443,0.023153340810767507,18,0.17088607594936708,0.08404101906745715
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U100_PIT_LITE,overall,2014-04-01,2026-07-24,3010,11816,392.5581395348837,712,8858,2245,0.9256008359456636,99.82026578073089,0.7531511471220913,0.521018759840865,9.150914422306235e-05,0.016185583021009513,0.039318402245335726,0.9337039213406264,1.0,9.431229235880398,10,0.9956810631229236,-0.4853776884030033,702,1.2251283898069576,0.011701042128595142,0.43447293447293445,41.00569800569801,0.44871794871794873,0.4515669515669516,163,0.024216524216524215,0.009898458616407332,30,0.18091168091168092,0.07101809238561378
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U100_PIT_LITE,development,2014-04-01,2021-08-20,1806,6611,366.0575858250277,412,4886,1308,0.922234805587014,99.79014396456257,0.7134214072433306,0.5246037627675934,-1.4607483107744575e-05,0.014534536477622435,0.03666984618072865,0.9215671641246534,1.0,9.297895902547065,10,0.9928017718715393,-0.4853776884030033,403,1.0280381239631182,0.0014620186633498328,0.42431761786600497,42.10669975186104,0.45409429280397023,0.47890818858560796,133,0.02729528535980149,0.01153261210893485,29,0.1687344913151365,0.07476802393956
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U100_PIT_LITE,validation,2021-08-23,2024-02-05,602,2641,438.7043189368771,135,2030,470,0.9376443418013857,100.0,0.7831893687707642,0.5112292358803987,0.00037712683927317996,0.016016043593427023,0.043870431893687716,0.95875932593316,1.0,9.68936877076412,10,1.0,-0.21007364363959824,125,1.3811054427993288,0.018847331413457524,0.44,43.0,0.44,0.48,73,0.032,0.017216,25,0.192,0.071872
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U100_PIT_LITE,final_holdout,2024-02-06,2026-07-24,602,2564,425.9136212624585,165,1942,467,0.9216896060749882,99.73089700996678,0.8422361488640557,0.5200592301755093,0.00012406505769803857,0.021305519476521696,0.04270764119601329,0.9450587883960108,1.0,9.573089700996677,10,1.0,-0.297898725193222,154,1.388246137737324,0.021962251687209722,0.42857142857142855,35.31818181818182,0.474025974025974,0.34415584415584416,83,0.032467532467532464,0.015854275594535335,24,0.18831168831168832,0.07691010288412886
