gate_id,model_id,base_commit,classification,source_run_id,universe_id,split,disposition_group,signal_count,contained_quality_count,cross_boundary_or_censored_count,capacity_binding_session_count,quality_scope,attribute_distribution_scope,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,sample_status,score_mean,score_p25,score_median,score_p75,liquidity_mean,liquidity_p25,liquidity_median,liquidity_p75,sector_distinct_count,sector_top_signal_share,sector_signal_hhi,score_90_share,score_100_share,score_120_share,rejected_minus_binding_accepted_expectancy,comparison_ci_low,comparison_ci_high,comparison_same_direction_fraction,comparison_status,priority_quality_effect
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,missing_next_session,0,0,0,26,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,0.04440659983508238,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,invalid_bar,0,0,0,26,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,0.04440659983508238,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,accepted_all,86,76,10,7,FROZEN_ONE_SHOT,SIGNAL_COHORT,76,76,0,0.618421052631579,0.12630237387760884,-0.09155798512342445,1.3794796129179485,0.043171447416688234,2.235708338177365,7,45.14473684210526,60.0,3.281030003668306,SUFFICIENT,98.6046511627907,90.0,100.0,100.0,10164106515.523256,4184476187.5,9310098150.0,13176948575.0,4,0.47674418604651164,0.330178474851271,0.3488372093023256,0.5465116279069767,0.10465116279069768,-0.04674602977546269,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,accepted_binding,4,2,2,7,FROZEN_ONE_SHOT,SIGNAL_COHORT,2,2,0,0.5,0.2961051948051949,-0.10269640359640353,2.8833063713592852,0.0967043956043957,2.8833063713592852,1,11.5,11.5,0.1934087912087914,INSUFFICIENT_SAMPLE,97.5,97.5,100.0,100.0,22913954800.0,19313592237.5,22906905775.0,26507268337.5,2,0.75,0.625,0.25,0.75,0.0,-0.04674602977546269,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,capacity_rejected,8,4,4,7,FROZEN_ONE_SHOT,SIGNAL_COHORT,4,4,0,0.5,0.15880586909604422,-0.058889137438178196,2.6966920556912313,0.04995836582893301,2.6966920556912313,2,53.75,56.5,0.19983346331573204,INSUFFICIENT_SAMPLE,92.5,90.0,90.0,92.5,9795857943.75,3533247118.75,9363022975.0,14782259937.5,3,0.375,0.34375,0.75,0.25,0.0,-0.04674602977546269,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,duplicate_rejected,345,299,46,7,COUNT_ONLY,SIGNAL_COHORT,345,,,,,,,,,,,,,COUNT_ONLY,96.43478260869566,90.0,100.0,100.0,9282100264.942028,3897685850.0,9109125575.0,12597027650.0,4,0.5043478260869565,0.344473850031506,0.4318840579710145,0.5304347826086957,0.03768115942028986,-0.04674602977546269,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,missing_next_session,0,0,0,7,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,-0.04674602977546269,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,invalid_bar,0,0,0,7,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,-0.04674602977546269,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,accepted_all,92,92,0,3,FROZEN_ONE_SHOT,SIGNAL_COHORT,92,92,0,0.5543478260869565,0.20165864927234672,-0.0979173808176882,2.05947756760175,0.06815194021048333,2.561789169455835,13,39.40217391304348,47.0,6.269978499364466,SUFFICIENT,94.56521739130434,90.0,90.0,100.0,43532587469.29348,11186223837.5,18260204450.0,47183935937.5,4,0.34782608695652173,0.2870982986767486,0.6304347826086957,0.32608695652173914,0.043478260869565216,0.028725504536770252,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,accepted_binding,2,2,0,3,FROZEN_ONE_SHOT,SIGNAL_COHORT,2,2,0,0.5,0.2961051948051949,-0.02721354653607766,10.880801383702087,0.13444582413455863,10.880801383702087,1,53.5,53.5,0.26889164826911727,INSUFFICIENT_SAMPLE,90.0,90.0,90.0,90.0,15236094312.5,14222550143.75,15236094312.5,16249638481.25,2,0.5,0.5,1.0,0.0,0.0,0.028725504536770252,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,capacity_rejected,3,3,0,3,FROZEN_ONE_SHOT,SIGNAL_COHORT,3,3,0,0.6666666666666666,0.29610519480519504,-0.10269640359640342,2.8833063713592897,0.16317132867132889,5.766612742718579,1,30.666666666666668,34.0,0.48951398601398666,INSUFFICIENT_SAMPLE,90.0,90.0,90.0,90.0,28651054300.0,8653717600.0,9258589250.0,38952158475.0,2,0.6666666666666666,0.5555555555555556,1.0,0.0,0.0,0.028725504536770252,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,duplicate_rejected,266,266,0,3,COUNT_ONLY,SIGNAL_COHORT,266,,,,,,,,,,,,,COUNT_ONLY,94.62406015037594,90.0,90.0,100.0,29815990745.394737,10757005143.75,16909624987.5,27797357575.0,4,0.39473684210526316,0.29085872576177285,0.5977443609022557,0.37218045112781956,0.03007518796992481,0.028725504536770252,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,missing_next_session,0,0,0,3,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,0.028725504536770252,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
