gate_id,model_id,base_commit,classification,source_run_id,universe_id,episode_rank,start_date,trough_date,recovery_date,drawdown,peak_to_trough_equity_change_jpy,position_net_pnl_jpy,position_pnl_reconciled,gross_negative_position_day_pnl_jpy,window_session_count,mean_active_positions,maximum_active_positions,mean_cash_utilization,maximum_cash_utilization,capacity_rejection_count,raw_signal_count,raw_signal_frequency_per_100_sessions,mean_active_member_weekly_above_200ma_share,mean_active_member_macd_uptrend_share,mean_cross_sectional_median_adjusted_return,mean_cross_sectional_adjusted_return_population_std,mean_signal_breadth,ticker_gross_loss_distinct_count,ticker_gross_loss_top_share,ticker_gross_loss_top3_share,ticker_gross_loss_hhi,sector_gross_loss_distinct_count,sector_gross_loss_top_share,sector_gross_loss_top3_share,sector_gross_loss_hhi,ticker_adverse_net_distinct_count,ticker_adverse_net_top_share,ticker_adverse_net_top3_share,ticker_adverse_net_hhi,sector_adverse_net_distinct_count,sector_adverse_net_top_share,sector_adverse_net_top3_share,sector_adverse_net_hhi,score_90_gross_loss_share,score_100_gross_loss_share,score_120_gross_loss_share,stop_loss_gross_loss_share,stop_gap_gross_loss_share,take_profit_gross_loss_share,take_profit_gap_gross_loss_share,max_holding_gross_loss_share,data_end_or_haircut_gross_loss_share,other_gross_loss_share
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,1,2015-05-29,2020-03-06,2023-06-14,-0.3754503193821267,-4123558.1581573514,-4123558.1581573496,True,33388951.08978541,1165,5.289270386266095,10,0.5352233914917005,1.0,7,655,56.223175965665234,0.6637482117310444,0.5359656652360516,-0.00013846685203237698,0.010545568197051484,0.03748211731044349,15,0.109507356167795,0.2945510988780073,0.0733359943475503,4,0.43261852072836504,0.9257322861998477,0.3210731021048076,14,0.2335832864292586,0.47656477486639126,0.11876766705252241,4,0.6579936736213249,0.9007522028492159,0.4725297040942304,0.4792117150774711,0.47198220515636197,0.048806079766166965,0.29250036632383797,0.1699275810367378,0.00978591980977879,-0.0,0.5277861328296455,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,2,2026-02-27,2026-07-17,,-0.16091478007805315,-4162398.8964053355,-4162398.8964053374,True,14262868.72760221,95,4.063157894736842,9,0.399756183683324,0.8488844622825737,0,34,35.78947368421053,0.9600000000000001,0.4035087719298246,-0.0016617533951190804,0.025383246469021296,0.023859649122807025,12,0.15207901022687112,0.39235106802725445,0.09732175589204221,4,0.5643121036615957,0.9579576914126922,0.39972145869082426,11,0.19305511786246118,0.48280062093212406,0.11885057612224449,4,0.47032443318016104,0.9050301570933728,0.3251502455158664,0.7615413450472835,0.23845865495271645,-0.0,0.3792504326152473,0.21802368093401198,-0.0,0.004707824649512153,0.3980180618012284,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,3,2014-09-25,2015-01-16,2015-05-25,-0.1582523200602901,-1701159.2830220498,-1701159.2830220503,True,3861549.655013536,73,5.945205479452055,10,0.6095553332110147,1.0,8,67,91.78082191780823,0.9159817351598173,0.4840182648401827,-0.001583054653432186,0.010162108296159676,0.06118721461187215,15,0.14081647286733182,0.3609620313902999,0.08439904391152588,4,0.45487887230337803,0.8519191002131895,0.311858847764252,14,0.1650415600612165,0.39678563943011036,0.0934697433868592,4,0.3297447677969466,0.840175973467135,0.2663434822825572,0.39323381287986253,0.6067661871201376,-0.0,0.3372621268205335,0.16705969638482832,-0.0,-0.0,0.4956781767946383,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,4,2023-09-19,2023-10-04,2024-02-19,-0.1282339646966928,-1562196.1192419175,-1562196.1192419184,True,1664806.8807567693,11,8.818181818181818,10,0.8745147377866591,0.9912393529213366,0,5,45.45454545454545,0.9757575757575758,0.5272727272727273,-0.012127464436660846,0.008782683510733013,0.030303030303030307,11,0.12843180822120395,0.3478521172914561,0.09795101006373987,4,0.3889130183002326,0.904843402469634,0.29397357870523183,11,0.13686767967292798,0.3578616180533809,0.09867302439647345,4,0.4024441372075177,0.9082310080404712,0.29836371200600764,0.8121289973007813,0.18787100269921864,-0.0,0.4674618089542311,0.09597785811646818,-0.0,-0.0,0.4365603329293008,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,5,2024-07-17,2024-08-05,2024-12-27,-0.11540584962898659,-1690194.649451306,-1690194.6494513066,True,2110727.334590475,13,5.769230769230769,9,0.5650013658672965,0.8806929421254884,0,0,0.0,0.9282051282051283,0.22564102564102573,-0.02501426081889336,0.016192387786830617,0.0,9,0.1936018998906029,0.5385058135520442,0.13615670237160535,4,0.28756255130921926,0.8120289110687064,0.2559017391035597,9,0.18897481975658478,0.5076539868249574,0.12937621986776074,4,0.30093004233652787,0.8356993292442711,0.26092904780078546,0.8978666671917498,-0.0,0.10213333280825033,0.11504029915902908,0.7290537264189778,-0.0,-0.0,0.1559059744219933,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,1,2015-06-04,2020-05-07,2024-02-22,-0.4467087734377444,-6230119.975760715,-6230119.975760717,True,64373158.24473654,1200,8.305,10,0.8266633814396237,1.0,949,1999,166.58333333333334,0.6654833333333333,0.48446666666666666,-0.00038159365827681896,0.013730290457463845,0.03331666666666667,70,0.041007252272753356,0.11828145852129576,0.020604234872320125,26,0.18918706361167273,0.43695306544094514,0.0922521868502326,50,0.05053640303839447,0.15095502602808947,0.028559746943222688,20,0.2629086576042885,0.4902836370061917,0.11719863606747088,0.3656347333564376,0.5630967456384657,0.07126852100509669,0.33041340332558655,0.10661250528571886,0.013701725526083095,0.014113693729331545,0.53515867213328,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,2,2024-07-11,2025-04-09,2026-01-15,-0.275646985373065,-4374344.135823913,-4374344.135823907,True,20159220.809901875,180,8.705555555555556,10,0.8662910547298157,1.0,211,452,251.11111111111111,0.8729999999999999,0.38988888888888884,-0.002347972794403354,0.02059644207059869,0.05022222222222223,36,0.07181896307858654,0.192555364550048,0.03864528648808469,16,0.18655724236088603,0.40973902993936795,0.09352093556059621,26,0.10276506546537935,0.23812231543584395,0.049175112182535945,13,0.16157140515659105,0.416666246404726,0.10073709831565261,0.2635471972671969,0.6638461127933762,0.0726066899394269,0.2494514042601765,0.26818364854297805,0.01961299796140101,0.07388994836486325,0.38886200087058115,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,3,2014-09-25,2014-10-17,2014-11-04,-0.14019547949649314,-1536060.858351156,-1536060.858351157,True,1923788.7488361956,15,9.4,10,0.9403376943383759,1.0,31,43,286.6666666666667,0.9373333333333331,0.6466666666666668,-0.009533499460132306,0.01008229024395592,0.05733333333333334,16,0.14065286876474353,0.35932971688620874,0.0844246605449298,11,0.25992504535408756,0.5821552796873039,0.14813147869603782,16,0.15435053231868093,0.38814387722611654,0.09319058535443914,11,0.2896503743491024,0.6319325500770119,0.1698219345136225,0.7738125501444493,0.22618744985555067,-0.0,0.13136605255676465,0.332453281193626,0.06000274218091895,-0.0,0.4761779240686903,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,4,2026-02-27,2026-03-23,2026-05-13,-0.12643181560615935,-2092662.13922197,-2092662.1392219716,True,3759067.4936189554,15,8.6,10,0.862457445903562,0.9876948091675655,11,27,180.0,0.8786666666666666,0.6479999999999999,-0.0065796986825267766,0.024613275769438905,0.036000000000000004,15,0.10512895020336933,0.3136144834755922,0.07984418018857616,8,0.3477944997399234,0.6029429871636364,0.18897331304944415,14,0.1502507303842979,0.4071608851915652,0.0979166070510909,8,0.2633971649332577,0.6047549763111929,0.16405202946086167,0.5065899151612757,0.4338547349030185,0.059555349935705805,0.42650123475839763,0.16343056103992554,0.07629817839828514,-0.0,0.33377002580339177,-0.0,-0.0
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,5,2024-03-22,2024-04-19,2024-05-28,-0.07688851183232048,-1143264.4261436593,-1143264.4261436602,True,2343776.7483350188,20,9.9,10,0.9901123793977591,1.0,24,31,155.0,0.9400000000000001,0.6819999999999998,-0.004617760020517042,0.018703124876084283,0.031,11,0.1195345942940021,0.336355093463642,0.09991747313698074,6,0.30174967195514746,0.7872428156202482,0.23192514571790748,11,0.1676676248956492,0.4245472250285636,0.11298166524693443,6,0.30702343101656043,0.7164722609540782,0.22103248864565614,0.3150585916158207,0.5778717889376624,0.10706961944651677,0.19009314542429626,-0.0,-0.0,-0.0,0.8099068545757037,-0.0,-0.0
